Latitude,Longitude,Started
38.02845,-120.61153,20160702
0,0,20160919
35.4976,-118.5097,20160828
39.188321,-121.78003,20160920
36.88286,-119.654,20160525
38.69971,-122.15457,20160626
39.92,-121.32,20160926
0,0,20160617
35.68313,-118.21793,20160713
34.75134,-120.55297,20160922
39.12366,-122.50373,20160626
37.74369,-121.58677,20160625
38.26874,-120.90265,20160617
36.92244,-119.39619,20160711
38.93449,-120.10744,20161014
0,0,20160712
38.8390117,-121.3090268,20160517
36.84479,-119.34487,20160903
34.276,-118.354,20160523
0,0,20160428
37.75972,-120.029626,20160913
33.6542,-117.5221,20160831
35.61961,-120.39993,20160510
37.62215,-121.36665,20160820
36.14161,-120.62048,20160704
0,0,20160804
33.476894,-117.140883,20160604
35.60748,-118.94811,20160715
36.78769,-119.38248,20160515
39.4403,-121.42647,20160922
37.0099,-119.5792,20160715
0,0,20160805
37.17072,-121.42238,20160607
37.41896,-121.79669,20160730
39.595,-121.6008,20160620
37.25601,-119.65776,20160704
40,-121.93923,20160925
0,0,20160817
35.24504,-118.60344,20160804
0,0,20160803
35.85093,-120.81081,20160722
32.9612,-116.7945,20160718
5487,-120.841536,20160709
39.33035,-121.78973,20160527
39.79547,-121.71662,20160826
40.07846,-122.2071,20160701
38.86804,-121.37704,20160621
38.517772,-121.103642,20160710
35.70821,-120.82266,20160627
37.3228,-119.7738,20160804
37.927613,-120.528836,20160530
38.8866,-122.04726,20160715
0,0,20160615
36.49914,-121.04993,20160612
40.19611,-122.26736,20160803
0,0,20160721
39.7947,-121.857,20160611
36.92244,-119.39619,20160713
40.68192,-122.4096,20160910
36.6543,-119.5327,20160923
36.2833,-121.3306,20160618
33.41639,-117.08829,20160531
39.0863,-122.7891,20160719
38.40958,-122.43172,20161010
35.77135,-120.251,20160611
38.33475,-122.02564,20160722
37.98171,-120.64241,20160721
0,0,20160519
36.1934,-120.9293,20160623
39.7299,-123.5044,20160910
34.3183,-117.3189,20160907
38.79549,-121.00299,20160722
0,0,20160428
39.43351,-121.6051,20160621
39.20427,-121.05948,20160917
33.57872,-117.77395,20160626
38.5212,-120.8416,20160923
36.09974,-120.51057,20160809
34.27619,-118.63264,20160701
39.93965,-122.40142,20160621
0,0,20160530
0,0,20160730
38.558,-121.1309,20160911
0,0,20160828
38.01264,-122.1885,20160724
39.39051,-120.51887,20160907
37.24006,-119.4741,20160729
39.8748511,-123.4267011,20160830
38.68403,-122.26015,20160809
33.22558,-117.14547,20160810
40.61213,-122.47091,20160809
0,0,20160728
37.96311,-120.67335,20160712
38.22017,-120.8678,20160627
41.6314,-122.7933,20160912
37.81434,-120.69521,20160730
38.3131,-121.06452,20160603
39.8851,-121.6998,20160916
36.58972,-118.15589,20160701
36.80296,-121.40304,20160603
39.624017,-121.595093,20160529
37.2171,-121.08036,20160424
33.254355,-117.158475,20161113
33.00056,-116.9571,20160722
38.2581,-120.8657,20160805
41.96191,-122.59328,20160719
37.11831,-121.69784,20160901
37.06531,-121.68577,20160812
0,0,20160806
0,0,20160729
38.64107,-120.6955,20160603
35.8378273,-121.0381507,20160512
40.61388,-122.46777,20160611
40.4572,-124.05804,20160811
41.71847,-122.36924,20160721
40.9878,-123.77832,20160812
34.25858,-117.4415,20160903
39.1408865,-122.9148951,20160830
0,0,20160512
0,0,20160830
33.11645,-116.58542,20160711
0,0,20160725
0,0,20160525
36.217,-118.551,20161020
38.57554,-120.00606,20160818
0,0,20160722
35.01382,-119.58206,20160604
0,0,20160604
35.84883,-118.08591,20160601
34.6888731,-118.7892593,20160419
34.41521,-119.09124,20171204
34.41521,-119.09124,20171204
40.07045,-120.14013,20170711
0,0,20170724
37.61757,-120.21321,20170716
41.841,-123.474,20170815
38.4041,-122.5209,20171008
38.4041,-122.5209,20171008
38.39206,-122.24367,20171008
38.39206,-122.24367,20171008
35.93273,-120.20014,20170709
42.039,-123.218,20170814
38.60895,-122.62879,20171008
38.60895,-122.62879,20171008
36.15356,-118.74103,20170829
39.24873,-123.16635,20171008
35.0179,-120.3223,20170706
41.59,-123.501,20170726
40.76025,-123.10003,20170830
36.27138,-118.48555,20170927
40.69573,-119.93499,20170830
34.55096,-119.9494,20170708
38.76549,-122.90939,20171009
0,0,20170624
34.31283,-118.35863,20171205
40.2275,-123.03583,20170912
37.44663,-119.64622,20170829
36.12089,-120.37116,20170518
39.32198,-121.4021,20171008
33.87041,-117.70975,20171009
38.655,-119.55425,20170829
39.62496,-121.52966,20171008
37.644,-119.618,20170801
41.466,-120.321,20170803
34.22957,-118.2674,20170901
37.538,-119.598,20170814
33.530045,-116.594422,20170626
39.39455,-121.40613,20171009
34.45283,-118.58188,20171205
40.43962,-120.22215,20170829
39.45352,-121.41222,20170707
36.07228,-120.26561,20170420
38.329,-119.782,20170731
40.17598,-123.36882,20170807
39.9034,-120.9761,20170729
33.3237,-117.163,20171207
39.57701,-121.30209,20170829
33.97471,-117.09984,20170902
41.853,-123.676,20170807
35.77896,-118.89627,20170707
33.8668,-117.68598,20170925
39.75312,-120.75485,20170905
36.05187,-120.05404,20170824
36.257,-118.296,20170802
36.0226,-118.94252,20170730
38.49521,-122.0251,20170706
39.01387,-122.64543,20171008
32.65597,-116.80527,20170520
0,0,20171009
35.86949,-120.57894,20170708
35.86949,-120.57894,20170708
36.96655,-120.89261,20170512
38.12,-119.941,20170903
38.14242,-122.47301,20171009
35.95911,-120.55579,20170717
35.59904,-119.08312,20170706
35.4025,-120.4992,20170626
36.269125,-120.620791,20170702
35.53456,-118.66733,20170618
34.2976,-116.826,20170619
37.0825,-119.8011,20170610
35.543,-118.654,20170730
34.00566,-117.30693,20170430
35.76,-118.406,20170901
38.5181,-121.104,20170726
35.38298,-118.80123,20170630
33.402411,-117.402445,20171017
34.94373,-119.44751,20170718
33.98212,-117.30819,20170813
37.21616,-119.48067,20170903
39.75371,-120.1397,20170806
33.34988,-117.39818,20170525
40.98352,-121.81623,20170912
36.530836,-120.206592,20170428
39.30125,-123.28825,20170716
39.1234,-121.32957,20170820
33.60247,-117.34192,20171026
39.888,-120.066,20170806
39.24549,-121.12792,20171009
34.55607,-118.60703,20170617
35.7908,-120.77485,20170811
34.37443,-118.49343,20170625
39.439722,-120.027222,20170710
37.905545,-120.408135,20170729
37.37397,-119.83556,20170903
34.14575,-117.17813,20170627
37.3762,-119.9646,20170628
41.85763,-121.29581,20170628
33.95036,-116.88066,20170814
41.11989,-120.74968,20170806
35.4605,-118.85896,20170520
33.3906,-117.32348,20170519
41.3975,-122.8428,20170705
35.40357,-120.28037,20170802
34.09773,-117.10567,20170714
36.616986,-120.369347,20170611
34.67403,-120.4393,20170929
37.14624,-120.015509,20170918
38.848,-120.287,20171013
34.09454,-118.48178,20171206
36.22265,-119.06598,20170720
41.72163,-121.30451,20170713
32.84796,-116.85396,20170711
36.45491,-120.2445,20170510
39.34292,-121.12004,20170830
37.18356,-122.07012,20171016
41.16716,-120.58342,20170403
38.46111,-119.48284,20171113
38.02929,-122.25544,20170708
36.27306,-120.65185,20170623
35.42433,-120.47322,20170709
36.45809,-118.87676,20170607
34.92907,-118.9267,20170810
34.08492,-117.03826,20170803
41.478,-123.506,20170719
33.59257,-117.14979,20171207
35.41283,-118.84466,20170515
34.16564,-117.33334,20171205
33.34659,-116.66107,20170722
35.12269,-120.39387,20170920
36.24653,-120.31598,20170919
38.538332,-121.039267,20170730
37.87808,-121.78677,20170708
37.4591,-119.921,20170702
35.34541,-120.76464,20170518
35.21177,-119.87525,20170515
35.59804,-118.47939,20170610
33.85323,-117.48195,20170704
39.44543,-122.85194,20170912
37.72543,-121.90516,20170822
32.65003,-116.42907,20170821
33.689092,-117.396404,20170731
40.02261,-121.91425,20171026
34.9465,-119.8036,20170520
39.9864,-120.89746,20170820
36.704679,-120.405077,20170611
35.3091,-118.701,20171015
35.19008,-118.76152,20171012
40.47106,-122.43608,20170718
34.41204,-117.03031,20170723
33.87679,-117.00258,20170819
39.71101,-120.02325,20170619
39.37192,-121.53865,20170710
40.80968,-120.48641,20170826
37.12759,-120.0193,20170607
37.63358,-121.49925,20170919
41.9808,-121.9741,20170729
33.98639,-117.21314,20170618
39.74679,-121.67261,20171009
35.7751,-120.23656,20170724
35.6871,-120.3187,20170614
36.90967,-119.79315,20170517
34.30104,-117.45646,20170430
40.46836,-123.51619,20171014
39.02482,-123.1362,20170919
40.07613,-121.56858,20170928
38.559707,-120.70013,20170726
38.5758,-120.915,20170917
34.792882,-118.851943,20170728
35.8556,-118.74542,20170613
39.69717,-121.75417,20170616
38.40234,-120.52953,20171009
32.6001,-116.76997,20170901
35.78286,-120.22647,20170502
40.69554,-122.0122,20170701
36.5355,-120.6585,20170429
37.62823,-120.30046,20170813
37.90014,-120.36005,20170730
34.009026,-117.239099,20170804
35.31886,-120.50886,20170903
33.88287,-116.99651,20170525
38.29113,-120.62177,20170717
37.7393,-121.85663,20171017
38.49336,-122.2483,20170811
36.93332,-119.43376,20170826
39.38416,-121.5786,20170622
35.3024,-120.65279,20170926
33.950382,-116.884446,20170615
39.76243,-121.74121,20170719
36.36113,-120.32685,20170830
37.39801,-121.8179,20170711
32.64962,-116.37345,20171021
38.46123,-122.58152,20171014
39.0199,-122.57487,20171014
38.43658,-121.97233,20171002
36.99092,-121.59899,20170903
36.09486,-120.52189,20170903
37.14653,-121.68165,20170811
34.19076,-117.26969,20170731
34.035344,-116.940661,20171129
33.57139,-116.8247,20170807
36.95104,-119.65621,20170705
39.52499,-121.64897,20170606
37.09773,-120.02027,20170707
39.15016,-122.576,20171006
34.34949,-119.30918,20171024
117.337331,34.015742,20170831
40.11794,-123.76099,20170803
34.20152,-117.14466,20170722
37.3344,-121.71752,20170629
35.86596,-120.64584,20170807
33.38613,-117.46709,20171013
38.869036,-119.61865,20171228
40.13278,-120.9204,20170903
35.89423,-119.00334,20170531
36.96607,-121.55552,20170723
40.38944,-122.13088,20170604
39.19325,-121.08406,20171009
36.8005,-119.35901,20170611
35.5956,-120.56068,20170926
38.7803,-120.97111,20170708
34.07612,-117.06765,20170707
35.78616,-120.96514,20171013
33.75526,-117.25075,20170718
35.4403,-120.2913,20170802
39.01224,-122.20127,20170717
37.25014,-121.68562,20170710
36.60736,-120.5828,20170519
36.7279,-119.28241,20170827
38.33707,-121.11113,20170601
40.03392,-120.1064,20170604
37.82934,-120.68992,20170621
33.81976,-117.18552,20170728
37.36914,-120.0088,20170615
33.20988,-116.46989,20170826
38.94599,-122.81135,20170808
37.64898,-120.4925,20170708
40.32063,-122.83208,20170618
36.18815,-118.78928,20170717
38.18303,-120.85322,20170712
36.7528,-119.2288,20171011
39.42604,-123.03344,20170912
36.64404,-118.99944,20170718
35.346,-120.62825,20170707
40.1583,-122.3209,20170728
36.81476,-119.51592,20170704
41.93006,-122.36545,20170618
38.4446,-122.0041,20170923
41.99483,-121.90077,20170829
34.03941,-118.58624,20170629
41.222,-122.292,20170828
41.222,-122.27499,20170828
37.33454,-121.76323,20170621
37.44485,-121.84108,20170726
35.21556,-118.56578,20171026
33.8826,-117.00589,20171023
34.22551,-118.05545,20171017
37.41591,-122.3001,20170911
35.70639,-118.47307,20170805
34.72379,-120.13249,20170717
39.06308,-121.303,20170708
34.20599,-118.98603,20170704
33.87739,-117.16215,20170703
33.23281,-117.29509,20170613
36.94652,-120.90462,20170920
33.58577,-116.07429,20170528
36.38109,-121.00391,20171125
35.06472,-120.5634,20170720
33.6444,-117.3968,20170827
34.149,-117.189,20170712
41.8721,-122.4571,20170606
33.9885,-117.38417,20171221
35.28738,-120.44448,20171009
40.48712,-121.85645,20170403
37.56181,-121.56425,20170827
39.81517,-122.28165,20171102
36.17297,-120.87609,20170911
35.96275,-121.08753,20170629
40.10282,-122.27379,20170624
41.38247,-120.53443,20170603
41.99279,-122.9401,20170813
34.10446,-118.70294,20170629
35.05076,-118.90004,20170514
33.96514,-117.4764,20171204
33.90327,-116.50151,20171114
34.13534,-117.4982,20171024
40.70627,-122.24199,20171008
35.59302,-118.46734,20170929
41.98128,-124.01168,20170912
41.02705,-123.63721,20170828
40.29831,-122.70449,20170826
38.86056,-122.62382,20170717
36.66684,-121.74826,20170716
37.896778,-120.504134,20170919
39.06522,-121.3519,20170724
38.07481,-122.23004,20170622
37.9775,-122.65749,20170627
37.85137,-120.45268,20170611
40.774,-122.309,20171031
37.65963,-120.34802,20170707
33.1683,-116.77342,20170625
33.74925,-117.10301,20170929
38.08055,-122.77846,20170712
33.99316,-117.48405,20170704
38.45822,-120.92162,20170627
35.37351,-118.84134,20170609
33.96419,-117.20507,20170521
34.21829,-117.40625,20171205
33.73547,-117.33364,20170910
40.03697,-123.64214,20170831
36.85596,-121.30983,20170704
33.763304,-117.314994,20170707
33.584036,-116.972036,20170613
35.60633,-118.4642,20170604
40.804,-123.375,20170802
40.79902,-123.39253,20170802
33.62613,-117.07975,20170713
35.90092,-120.93371,20170616
35.902149,-120.983684,20170611
36.5858,-121.80377,20171015
36.099681,-120.443545,20170823
35.60001,-118.4683,20170512
34.52055,-118.62882,20170831
40.27582,-123.64281,20170803
33.96896,-117.25411,20170703
38.77921,-120.46234,20171010
40.29118,-122.42606,20170708
39.8255,-121.7127,20170925
41.4844,-120.36659,20170830
41.93323,-124.19629,20170626
33.79925,-117.11659,20170615
41.64469,-120.31814,20170830
33.82165,-116.96079,20170603
39.03168,-121.40947,20170926
33.71025,-117.31924,20170618
33.94788,-116.59719,20170601
33.18716,-116.50897,20171015
35.76343,-121.04445,20170923
32.59252,-116.61609,20170907
40.71923,-122.02525,20170901
32.7789,-116.8516,20170627
37.02081,-119.95136,20170618
34.29931,-118.37539,20170603
32.679,-116.29296,20170524
33.50488,-117.02132,20171010
37.77982,-122.169,20170926
38.20176,-120.67848,20170705
38.68347,-122.2654,20170613
35.41112,-120.00353,20171020
39.01748,-122.49327,20170905
36.10858,-118.81979,20170705
39.364,-121.4143,20170622
0,0,20170613
36.35578,-120.99552,20170522
40.88516,-123.96844,20171008
38.51937,-123.24713,20171007
40.20077,-122.24731,20171003
37.65986,-120.31157,20170801
34.139,-117.199,20170722
39.13207,-123.10227,20170717
33.52584,-116.85226,20170613
37.86549,-122.2102,20170605
35.983,-119.91508,20170518
35.77082,-120.92482,20170514
33.88994,-116.91023,20171213
39.06414,-121.13737,20171010
33.797216,-117.124538,20170813
40.39799,-123.57562,20170801
37.81827,-120.65764,20170718
40.703775,-122.645079,20170626
35.71704,-118.30601,20170501
38.26294,-122.71998,20170827
39.53944,-121.54722,20170704
36.61332,-120.7109,20170528
36.1727,-120.86682,20170516
37.41231,-119.87465,20171003
